t,queue_depth,jobs_running,jobs_finished,queued,processing,completed,failed
0.1,10,1,5,10,1,8,0
1.1,10,1,5,10,1,8,0
2.1,10,1,5,10,1,8,0
3.2,10,1,5,10,1,8,0
4.2,9,1,6,9,1,9,0
5.2,9,1,6,9,1,9,0
6.2,9,1,6,9,1,9,0
7.2,9,1,6,9,1,9,0
8.3,9,1,6,9,1,9,0
9.3,9,1,6,9,1,9,0
10.3,8,1,7,8,1,10,0
11.3,8,1,7,8,1,10,0
12.3,8,1,7,8,1,10,0
13.3,8,1,7,8,1,10,0
14.3,8,1,7,8,1,10,0
15.3,8,1,7,8,1,10,0
16.4,8,1,7,8,1,10,0
17.4,7,1,8,7,1,11,0
18.4,8,1,8,8,1,11,0
19.4,8,1,8,8,1,11,0
20.4,18,1,8,18,1,11,0
21.4,25,1,8,25,1,11,0
22.4,28,1,8,28,1,11,0
23.4,36,1,9,36,1,12,0
24.4,40,1,9,40,1,12,0
25.4,43,1,9,43,1,12,0
26.5,49,1,9,49,1,12,0
27.5,49,1,9,49,1,12,0
28.5,59,1,9,59,1,12,0
29.5,68,1,10,68,1,13,0
30.5,80,1,10,80,1,13,0
31.5,84,1,10,84,1,13,0
32.5,87,1,10,87,1,13,0
33.5,92,1,10,92,1,13,0
34.5,94,1,10,94,1,13,0
35.5,94,1,10,94,1,13,0
36.5,106,1,11,106,1,14,0
37.6,108,1,11,108,1,14,0
38.6,114,1,11,114,1,14,0
39.6,116,1,11,116,1,14,0
40.6,121,1,11,121,1,14,0
41.6,125,1,11,125,1,14,0
42.6,129,1,12,129,1,15,0
43.7,135,1,12,135,1,15,0
44.7,143,1,12,143,1,15,0
45.7,148,1,12,148,1,15,0
46.7,153,1,12,153,1,15,0
47.7,157,1,12,157,1,15,0
48.7,157,1,13,157,1,16,0
49.7,162,1,13,162,1,16,0
50.7,162,1,13,162,1,16,0
51.7,173,1,13,173,1,16,0
52.7,173,1,13,173,1,16,0
53.8,173,1,13,173,1,16,0
54.8,182,1,14,182,1,17,0
55.8,194,1,14,194,1,17,0
56.8,197,1,14,197,1,17,0
57.8,202,1,14,202,1,17,0
58.8,209,1,14,209,1,17,0
59.8,210,1,14,210,1,17,0
60.8,216,1,14,216,1,17,0
61.9,221,1,15,221,1,18,0
62.9,222,1,15,222,1,18,0
63.9,227,1,15,227,1,18,0
64.9,231,1,15,231,1,18,0
65.9,233,1,15,233,1,18,0
66.9,243,1,15,243,1,18,0
67.9,242,1,16,242,1,19,0
69.0,252,1,16,252,1,19,0
70.0,252,1,16,252,1,19,0
71.0,264,1,16,264,1,19,0
72.0,269,1,16,269,1,19,0
73.0,272,1,16,272,1,19,0
74.0,278,1,17,278,1,20,0
75.0,284,1,17,284,1,20,0
76.1,284,1,17,284,1,20,0
77.1,292,1,17,292,1,20,0
78.1,299,1,17,299,1,20,0
79.1,301,1,17,301,1,20,0
80.1,300,1,18,300,1,21,0
81.1,310,1,18,310,1,21,0
82.1,315,1,18,315,1,21,0
83.1,320,1,18,320,1,21,0
84.2,324,1,18,324,1,21,0
85.2,329,1,18,329,1,21,0
86.2,333,1,19,334,0,22,0
87.2,338,1,19,338,1,22,0
88.2,338,1,19,338,1,22,0
89.2,348,1,19,348,1,22,0
90.2,348,1,19,348,1,22,0
91.2,366,1,19,366,1,22,0
92.2,372,1,19,372,1,22,0
93.2,377,1,20,377,1,23,0
94.2,383,1,20,383,1,23,0
95.3,385,1,20,385,1,23,0
96.3,392,1,20,392,1,23,0
97.3,392,1,20,392,1,23,0
98.3,394,1,20,394,1,23,0
99.3,402,1,21,402,1,24,0
100.3,410,1,21,410,1,24,0
101.4,415,1,21,415,1,24,0
102.4,415,1,21,415,1,24,0
103.4,415,1,21,415,1,24,0
104.4,425,1,21,425,1,24,0
105.4,424,1,22,424,1,25,0
106.4,434,1,22,434,1,25,0
107.4,440,1,22,440,1,25,0
108.4,445,1,22,445,1,25,0
109.5,448,1,22,448,1,25,0
110.5,448,1,22,448,1,25,0
111.5,455,1,23,455,1,26,0
112.5,463,1,23,463,1,26,0
113.5,463,1,23,463,1,26,0
114.5,472,1,23,472,1,26,0
115.5,475,1,23,475,1,26,0
116.5,475,1,23,475,1,26,0
117.5,475,1,23,475,1,26,0
118.6,493,1,24,493,1,27,0
119.6,493,1,24,493,1,27,0
120.6,509,1,24,509,1,27,0
121.6,509,1,24,509,1,27,0
122.6,519,1,24,519,1,27,0
123.6,525,1,24,525,1,27,0
124.6,526,1,25,526,1,28,0
125.7,531,1,25,531,1,28,0
126.7,543,1,25,543,1,28,0
127.7,543,1,25,543,1,28,0
128.7,553,1,25,553,1,28,0
129.7,555,1,25,555,1,28,0
130.7,566,1,26,566,1,29,0
131.7,571,1,26,571,1,29,0
132.7,571,1,26,571,1,29,0
133.7,571,1,26,571,1,29,0
134.7,586,1,26,586,1,29,0
135.8,592,1,26,592,1,29,0
136.8,591,1,27,592,0,30,0
137.8,600,1,27,600,1,30,0
138.8,604,1,27,604,1,30,0
139.8,604,1,27,604,1,30,0
140.8,612,1,27,612,1,30,0
141.8,615,1,27,615,1,30,0
142.9,618,1,27,618,1,30,0
143.9,617,1,28,617,1,31,0
144.9,625,1,28,625,1,31,0
145.9,629,1,28,629,1,31,0
147.0,630,1,28,630,1,31,0
148.0,644,1,28,645,1,31,0
149.0,646,1,28,646,1,31,0
150.0,645,1,29,645,1,32,0
151.1,655,1,29,655,1,32,0
152.1,655,1,29,655,1,32,0
153.1,655,1,29,655,1,32,0
154.1,671,1,29,671,1,32,0
155.2,678,1,29,678,1,32,0
156.2,678,1,29,678,0,33,0
157.3,683,1,30,683,1,33,0
158.3,692,1,30,693,1,33,0
159.3,699,1,30,699,1,33,0
160.3,709,1,30,709,1,33,0
161.4,716,1,30,716,1,33,0
162.4,720,1,30,720,1,33,0
163.4,719,1,31,719,1,34,0
164.5,727,1,31,727,1,34,0
165.5,727,1,31,727,1,34,0
166.5,737,1,31,737,1,34,0
167.5,740,1,31,740,1,34,0
168.5,746,1,31,747,1,34,0
169.5,749,1,31,749,1,34,0
170.5,756,1,32,756,1,35,0
171.5,759,1,32,759,1,35,0
172.6,765,1,32,765,1,35,0
173.6,771,1,32,771,1,35,0
174.6,776,1,32,776,1,35,0
175.6,776,1,32,776,1,35,0
176.6,785,1,33,785,1,36,0
177.6,790,1,33,790,1,36,0
178.7,790,1,33,790,1,36,0
179.7,805,1,33,805,1,36,0
180.7,809,1,33,809,1,36,0
181.7,813,1,33,813,1,36,0
182.7,815,1,34,815,1,37,0
183.8,815,1,34,815,1,37,0
184.8,828,1,34,828,1,37,0
185.8,835,1,34,835,1,37,0
