t,queue_depth,jobs_running,jobs_finished,queued,processing,completed,failed
0.1,825,4,41,825,4,44,0
1.1,825,4,41,825,4,44,0
2.1,822,4,44,822,4,47,0
3.1,821,4,45,821,4,48,0
4.1,821,4,45,821,4,48,0
5.1,821,4,45,821,4,48,0
6.2,821,4,45,821,4,48,0
7.2,821,4,45,821,4,48,0
8.2,821,4,45,821,4,48,0
9.2,817,4,49,817,4,52,0
10.3,817,4,49,817,4,52,0
11.3,817,4,49,817,4,52,0
12.3,817,4,49,817,4,52,0
13.3,817,4,49,817,4,52,0
14.3,817,4,49,817,4,52,0
15.4,813,4,53,813,4,56,0
16.4,813,4,53,813,4,56,0
17.4,813,4,53,813,4,56,0
18.4,813,4,53,813,4,56,0
19.4,813,4,53,813,4,56,0
20.5,813,4,53,813,4,56,0
21.5,813,4,53,813,4,56,0
22.5,809,4,57,809,4,60,0
23.5,809,4,57,809,4,60,0
24.6,809,4,57,809,4,60,0
25.6,809,4,57,809,4,60,0
26.6,809,4,57,809,4,60,0
27.6,809,4,57,809,4,60,0
28.7,805,4,61,805,4,64,0
29.7,805,4,61,805,4,64,0
30.7,805,4,61,805,4,64,0
31.7,805,4,61,805,4,64,0
32.7,805,4,61,805,4,64,0
33.7,805,4,61,805,4,64,0
34.8,801,4,65,801,4,68,0
35.8,801,4,65,801,4,68,0
36.8,801,4,65,801,4,68,0
37.8,801,4,65,801,4,68,0
38.8,801,4,65,801,4,68,0
39.8,801,4,65,801,4,68,0
40.9,801,4,65,801,0,72,0
41.9,797,4,69,797,4,72,0
42.9,797,4,69,797,4,72,0
43.9,797,4,69,797,4,72,0
44.9,797,4,69,797,4,72,0
46.0,797,4,69,797,4,72,0
47.0,797,4,69,797,4,72,0
48.0,793,4,73,793,4,76,0
49.0,793,4,73,793,4,76,0
50.1,793,4,73,793,4,76,0
51.1,793,4,73,793,4,76,0
52.1,793,4,73,793,4,76,0
53.1,793,4,73,793,4,76,0
54.1,789,4,77,789,4,80,0
55.1,789,4,77,789,4,80,0
56.2,789,4,77,789,4,80,0
57.2,789,4,77,789,4,80,0
58.2,789,4,77,789,4,80,0
59.2,789,4,77,789,4,80,0
60.2,786,4,80,786,3,84,0
61.3,785,4,81,785,4,84,0
62.3,785,4,81,785,4,84,0
63.3,785,4,81,785,4,84,0
64.3,785,4,81,785,4,84,0
65.3,785,4,81,785,4,84,0
66.4,785,4,81,785,4,84,0
67.4,781,4,85,781,4,88,0
68.4,781,4,85,781,4,88,0
69.4,781,4,85,781,4,88,0
70.5,781,4,85,781,4,88,0
71.5,781,4,85,781,4,88,0
72.5,781,4,85,781,4,88,0
73.5,777,4,89,777,4,92,0
74.5,777,4,89,777,4,92,0
76.4,777,4,89,777,4,92,0
77.4,777,4,89,777,4,92,0
78.4,777,4,89,777,4,92,0
79.5,777,4,89,777,4,92,0
80.5,773,4,93,773,4,96,0
81.5,773,4,93,773,4,96,0
82.5,773,4,93,773,4,96,0
83.6,773,4,93,773,4,96,0
84.7,773,4,93,773,4,96,0
85.7,773,4,93,773,4,96,0
86.8,769,4,97,769,4,100,0
87.8,769,4,97,769,4,100,0
88.8,769,4,97,769,4,100,0
89.9,769,4,97,769,4,100,0
91.1,769,4,97,769,4,100,0
92.1,769,4,97,769,4,100,0
93.2,765,4,101,765,4,104,0
94.2,765,4,101,765,4,104,0
95.2,765,4,101,765,4,104,0
96.3,765,4,101,765,4,104,0
97.3,765,4,101,765,4,104,0
98.3,765,4,101,765,4,104,0
99.4,765,4,101,765,4,104,0
100.4,761,4,105,761,4,108,0
101.4,761,4,105,761,4,108,0
102.5,761,4,105,761,4,108,0
103.5,761,4,105,761,4,108,0
104.5,761,4,105,761,4,108,0
105.5,761,4,105,761,4,108,0
106.6,761,3,107,761,1,111,0
107.7,757,4,109,757,4,112,0
108.7,757,4,109,757,4,112,0
109.7,757,4,109,757,4,112,0
110.7,757,4,109,757,4,112,0
111.8,757,4,109,757,4,112,0
112.8,757,4,109,757,4,112,0
113.8,753,4,113,753,4,116,0
114.8,753,4,113,753,4,116,0
115.8,753,4,113,753,4,116,0
116.9,753,4,113,753,4,116,0
117.9,753,4,113,753,4,116,0
118.9,753,4,113,753,4,116,0
120.0,752,4,114,753,1,119,0
121.0,749,4,117,749,4,120,0
122.0,749,4,117,749,4,120,0
123.0,749,4,117,749,4,120,0
124.1,749,4,117,749,4,120,0
125.1,749,4,117,749,4,120,0
126.2,749,4,117,749,4,120,0
127.2,746,4,120,746,4,123,0
