Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /admin/cashin,195,0,14,60.0422788109893,3.693667007610202,3597.420416015666,11393.348717948718,1.0848800231321365,0.0,14,16,20,23,45,110,340,2600,3600,3600,3600
GET,GET /admin/settlements,37,0,9,13.446300598868245,4.135958035476506,131.40570803079754,3206.0,0.20584903003020028,0.0,9,10,11,12,22,31,130,130,130,130,130
GET,GET /admin/transactions,45,0,41,213.45649724696867,17.405749997124076,3583.2772080320865,363623.73333333334,0.2503569284151084,0.0,41,85,100,110,150,210,3600,3600,3600,3600,3600
GET,GET /cashout/history,204,0,15,70.17244301039004,4.029083997011185,4849.7628750046715,4359.916666666667,1.1349514088151582,0.0,16,20,25,32,63,150,460,1500,4800,4800,4800
GET,GET /dashboard,542,0,16,38.660081101296214,5.932625033892691,2393.0624580243602,6892.319188191882,3.015410115577528,0.0,16,20,23,26,47,97,190,600,2400,2400,2400
GET,GET /quote (API),694,0,11,31.666587646520544,4.195208020973951,2927.639832952991,457.97262247838614,3.8610601848907833,0.0,11,14,16,19,27,52,150,360,2900,2900,2900
GET,GET /send,30,0,130.0,1021.0874818983333,15.432958025485277,3927.7419159770943,4052.133333333333,0.1669046189434056,0.0,130,1400,2100,2700,2900,2900,3900,3900,3900,3900,3900
GET,GET /send/pay,856,0,9,22.835777123269917,3.8168749888427556,3623.096874973271,6216.056074766355,4.762345127185173,0.0,9,11,13,14,22,36,73,140,3600,3600,3600
GET,GET /send/review,856,0,12,31.099236151285112,3.823417006060481,3618.2507080375217,4701.928738317757,4.762345127185173,0.0,12,15,17,20,40,93,190,390,3600,3600,3600
GET,GET /transactions,383,0,12,34.46534008025398,3.89112503034994,3341.4717920240946,10026.125326370757,2.1308156351774783,0.0,12,15,17,19,30,76,120,290,3300,3300,3300
GET,GET /wallet,579,0,17,484.60490495531093,4.340792016591877,5808.933791995514,10245.92055267703,3.2212591456077284,0.0,17,1200,1200,1200,1300,1300,1400,1800,5800,5800,5800
POST,POST /admin/cashin/{id}/received,997,0,21,33.85625534455984,8.413709001615644,4969.55733402865,10133.534603811435,5.54679683621918,0.0,21,25,28,32,45,69,130,200,5000,5000,5000
POST,POST /cashout/preview,323,0,15,62.370813532981835,5.478542007040232,4591.617917001713,4987.820433436533,1.7970063972906671,0.0,15,21,25,30,60,100,220,2100,4600,4600,4600
POST,POST /login,50,0,4300.0,4440.214389943285,850.7936249952763,8366.166791005526,4962.78,0.27817436490567604,0.0,4400,5300,5600,6300,7300,7800,8400,8400,8400,8400,8400
POST,POST /remittances,855,0,22,39.63169862872959,9.921625023707747,7053.402750054374,4835.214035087719,4.75678163988706,0.0,22,26,31,33,47,70,160,290,7100,7100,7100
,Aggregated,6646,0,15,114.27032745085175,3.693667007610202,8366.166791005526,8874.88504363527,36.974936583262455,0.0,15,20,25,29,63,330,1300,2400,7100,8400,8400
